Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
12.5,DHA Defence,20.0,5,6
3.0,Bahria Enclave,5.0,3,4
2.5,Bahria Enclave,5.0,3,4
3.05,I-14,6.0,4,5
2.35,Bahria Enclave,5.0,3,4
3.89,Park View City,5.8,2,2
2.45,Bahria Enclave,5.0,3,5
3.19,F-18,11.0,4,5
3.43,Jinnah Gardens,7.8,2,3
3.5,MPCHS Multi Gardens,8.0,4,6
13.5,DHA Defence,20.0,5,6
12.5,DHA Defence,20.0,6,6
14.5,DHA Defence,20.0,8,6
9.95,Bahria Enclave,20.0,5,6
9.0,Bahria Enclave,20.0,5,6
12.0,Bahria Enclave,20.0,5,6
65.0,F-8,80.0,8,6
22.5,F-8,20.0,5,5
26.0,F-8,26.0,6,6
18.0,F-10,20.0,5,5
3.05,Mumtaz City,8.0,6,6
0.65,Bahria Enclave,2.9,1,1
3.9,Bahria Enclave,10.0,5,6
16.5,DHA Defence,30.0,6,6
3.3,Soan Garden,7.0,5,5
32.0,F-7,22.0,8,7
4.15,D-12,4.0,3,3
0.65,E-11,3.3,1,1
9.0,DHA Defence,20.0,6,6
1.45,Ghauri Town Phase 4A,5.0,4,4
3.5,Jinnah Gardens,7.0,5,6
5.25,DHA Defence,10.0,5,7
10.0,DHA Defence,20.0,5,6
13.0,DHA Defence,20.0,6,6
25.0,DHA Defence,30.0,7,6
3.2,Bahria Enclave,8.0,5,6
3.65,Bahria Enclave,8.0,5,6
40.0,Bahria Enclave,40.0,6,6
4.1,Bahria Enclave,10.0,5,6
30.0,F-10,40.0,7,6
2.65,F-17,8.0,6,6
0.8088,B-17,2.9,2,2
5.35,Bahria Enclave,10.0,5,5
5.0,Bani Gala,26.0,4,5
4.0,Bani Gala,10.0,5,5
3.65,Bani Gala,7.0,4,6
5.8,G-11,8.0,2,3
4.55,I-14,9.3,8,7
4.8,D-12,4.0,3,3
8.75,D-12,8.0,5,5
5.2,Bahria Enclave,10.0,5,6
5.35,Bahria Enclave,10.0,5,6
5.7,Bahria Enclave,10.0,5,6
13.0,G-10,14.9,9,6
2.5,Jinnah Gardens,8.0,3,3
95.0,F-7,80.0,11,7
13.95,DHA Defence,20.0,5,6
13.95,DHA Defence,20.0,5,6
12.0,DHA Defence,20.0,6,7
1.7,Gulberg Greens,6.2,2,3
1.73,DHA Defence,5.4,2,2
1.4,Gulberg Greens,4.0,2,3
2.7,MPCHS Multi Gardens,8.0,6,6
4.65,DHA Defence,6.0,4,5
11.65,DHA Defence,20.0,6,6
1.2,I-16,6.4,3,3
12.8,DHA Defence,20.0,6,5
3.6,I-14,8.0,6,7
6.1,Soan Garden,20.0,10,6
5.1,G-13,7.0,4,4
10.25,D-12,8.0,6,7
2.6,Faisal Town,5.0,4,4
4.1,D-12,4.0,3,3
3.02,B-17,8.4,2,2
35.0,F-10,32.0,6,7
48.0,F-7,26.0,6,7
3.45,Jinnah Gardens,7.0,5,6
1.25,DHA Defence,3.2,2,2
2.65,Soan Garden,5.0,5,5
3.55,Bahria Enclave,8.0,5,6
3.6,Bahria Enclave,8.0,5,6
0.62,Arsalan Town,3.0,2,2
2.3,Bahria Enclave,5.0,3,5
3.25,Bahria Enclave,8.0,5,6
3.3,Bahria Enclave,8.0,5,6
3.2,Bahria Enclave,8.0,5,6
3.6,Bahria Enclave,8.0,5,6
5.65,D-12,5.0,3,4
13.5,DHA Defence,20.0,5,6
12.75,DHA Defence,20.0,5,6
3.7,Bahria Enclave,8.0,5,5
4.35,Bahria Enclave,10.0,5,5
70.0,F-8,80.0,5,6
8.75,Naval Anchorage,20.0,6,6
3.3,Mumtaz City,7.0,6,6
4.0,Gulberg Residencia,7.0,5,7
4.0,Top City 1,10.0,6,6
9.5,D-12,8.0,5,5
12.2,DHA Defence,20.0,5,6
17.0,E-11,20.0,7,7
1.8,Gulberg Greens,6.0,2,2
110.00000000000001,Chak Shahzad,800.0,4,5
85.0,E-7,42.0,10,7
3.25,Soan Garden,12.0,3,4
3.9,Bahria Enclave,8.0,5,6
0.6,G-15,2.7,2,2
5.15,Bahria Enclave,10.0,5,6
5.6,Bahria Enclave,10.0,5,6
4.5,Bahria Enclave,8.0,4,5
2.38,Bahria Enclave,5.0,3,4
2.42,Bahria Enclave,5.0,3,3
3.5,Bahria Enclave,8.0,5,6
2.35,Bahria Enclave,5.0,3,5
11.95,DHA Defence,20.0,5,6
2.15,Bani Gala,7.0,5,6
3.1,Bahria Enclave,5.0,3,4
7.2,Diplomatic Enclave,6.5,2,2
0.45,Bhara kahu,2.0,2,2
6.7,DHA Defence,10.0,5,5
4.2,Gulberg Residencia,7.0,5,7
0.61,D-17,4.8,2,2
2.35,D-17,7.0,4,6
11.49,DHA Defence,20.0,5,7
11.0,Bahria Enclave,20.0,6,7
0.72,DHA Valley,5.0,2,2
1.35,DHA Valley,8.0,3,3
3.7,Bahria Enclave,8.0,5,6
3.45,Bahria Enclave,8.0,5,6
3.95,Bahria Enclave,8.0,5,6
3.4,Bahria Enclave,8.0,5,6
8.75,G-13,10.9,7,7
0.58,G-15,3.0,2,2
0.9,C-18,5.0,4,4
1.6,C-18,10.0,8,6
13.25,Karakoram Diplomatic Enclave,11.8,3,4
5.4,Diplomatic Enclave,7.3,3,3
2.6,Bahria Enclave,5.0,3,4
12.7,DHA Defence,20.0,5,6
12.5,DHA Defence,20.0,5,6
4.1,D-17,10.0,5,6
1.25,Bhara kahu,8.5,2,2
5.95,G-13,7.0,5,6
11.0,G-13,14.0,6,6
1.65,G-15,4.8,2,2
12.7,DHA Defence,20.0,5,7
13.5,DHA Defence,20.0,5,6
37.0,F-7,26.0,4,5
7.0,Soan Garden,20.0,7,6
38.0,F-7,26.0,5,6
2.12,G-11,3.1,2,2
3.1,G-15,16.7,4,4
2.8,MPCHS Multi Gardens,5.0,5,5
1.33,DHA Valley,8.0,3,4
1.45,DHA Valley,8.0,3,3
12.0,I-8,14.2,6,6
3.23,Jinnah Gardens,7.2,2,2
10.9,DHA Defence,20.0,5,5
6.3,Bahria Enclave,12.0,5,6
10.5,DHA Defence,20.0,5,6
14.5,D-12,14.0,6,6
11.9,DHA Defence,20.0,6,6
4.5,DHA Defence,8.0,5,5
10.0,DHA Defence,20.0,6,7
0.8,Soan Garden,5.4,4,3
35.0,Gulberg Greens,100.0,9,7
3.35,DHA Defence,10.0,3,3
3.0,DHA Defence,10.0,3,3
1.75,E-11,5.2,2,2
1.05,El Cielo,4.2,2,2
2.4,Bahria Enclave,5.0,3,4
2.12,G-11,3.1,2,2
6.8,G-13,7.0,4,4
3.95,G-13,4.0,4,4
8.9,G-13,10.0,6,7
6.0,G-16,12.4,6,6
9.75,DHA Defence,20.0,6,6
15.0,DHA Defence,20.0,5,6
0.66,DHA Valley,5.0,2,2
7.5,Diplomatic Enclave,6.8,2,2
10.5,DHA Defence,20.0,5,6
11.25,DHA Defence,20.0,5,6
13.9,DHA Defence,20.0,5,6
7.5,DHA Defence,12.0,5,6
1.05,I-16,6.6,4,4
6.5,Diplomatic Enclave,6.7,2,2
7.5,Karakoram Diplomatic Enclave,8.9,2,2
8.8,DHA Defence,20.0,6,6
4.0,F-17,10.0,7,7
15.0,G-9,12.0,8,6
11.5,DHA Defence,20.0,5,6
4.25,Fazaia Housing Scheme,10.0,5,6
2.4,Jinnah Gardens,8.0,2,3
10.25,D-12,8.0,7,6
11.5,D-12,10.0,6,6
2.5,Jinnah Gardens,5.0,4,5
7.9,DHA Defence,24.0,6,6
39.0,DHA Defence,40.0,6,6
7.5,DHA Defence,30.0,6,6
3.3,DHA Defence,12.4,3,3
12.5,DHA Defence,20.0,6,6
21.9,DHA Defence,36.0,8,6
3.3,F-11,5.6,2,2
4.15,Fazaia Housing Scheme,10.0,5,6
2.5,G-11,4.9,3,3
4.5,G-10,6.0,5,5
14.5,DHA Defence,20.0,7,7
11.5,DHA Defence,20.0,6,7
7.45,DHA Defence,12.0,5,6
0.88,I-16,6.6,3,3
1.11,DHA Defence,5.3,2,2
27.0,F-7,26.0,5,5
11.7,DHA Defence,20.0,7,7
2.15,Bani Gala,6.0,5,6
17.0,Park Enclave,20.0,5,6
0.42,E-11,1.7,1,1
