Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
32.0,F-10,40.0,5,6
32.0,F-10,20.0,5,7
4.9,G-11,7.9,3,3
4.9,G-11,7.9,3,3
1.5,Gulshan-e-Sehat 1 - Hamza Block,5.0,5,5
9.0,G-9,14.0,5,5
4.6,DHA Defence,8.0,4,5
1.55,DHA Defence,5.1,3,3
0.5,I-16,4.1,2,2
0.55,I-16,4.1,2,2
7.75,G-13,10.0,5,5
5.85,B-17,10.0,9,6
2.3,Bani Gala,6.0,4,4
8.5,D-12,10.0,4,4
4.75,D-12,4.0,3,4
3.0,I-14,6.0,5,5
8.5,G-13,10.0,6,6
4.35,Park View City,8.0,4,5
3.9,DHA Defence,14.2,4,5
2.65,Naval Anchorage,5.0,4,4
35.0,F-7,26.0,6,6
3.5,G-11,5.6,2,2
4.1,G-11,6.9,2,2
8.9,F-10,9.0,3,3
11.5,D-12,10.0,5,6
32.0,F-10,22.0,5,6
30.0,F-8,26.0,6,6
22.0,F-10,20.0,6,6
0.5,I-16,6.6,2,2
18.5,I-8,24.0,8,7
13.5,G-10,20.0,6,6
2.6,DHA Defence,9.8,3,4
1.55,DHA Defence,5.1,3,3
3.5,Gulberg Greens,7.8,2,2
7.0,G-13,7.0,6,6
3.85,B-17,10.0,4,4
2.6,Jinnah Gardens,5.0,4,7
4.0,Faisal Hills,8.0,6,7
13.0,D-12,10.0,5,5
12.0,D-12,10.0,6,6
5.9,Naval Anchorage,20.0,4,5
2.5,F-10,1.8,1,1
8.5,F-10,9.0,3,4
16.0,F-10,12.4,4,5
20.0,G-14,20.0,6,6
4.25,D-12,4.0,3,4
8.0,E-11,10.0,4,5
7.0,E-11,9.0,4,6
15.5,E-11,20.0,4,5
1.02,B-17,4.7,2,2
12.0,DHA Defence,20.0,5,6
11.8,DHA Defence,20.0,6,7
7.8,Naval Anchorage,20.0,6,6
6.3,G-11,8.0,5,5
1.95,Bani Gala,5.0,3,3
1.05,B-17,6.7,3,3
1.55,Top City 1,5.5,2,2
1.25,Bani Gala,5.0,2,3
2.0,Bani Gala,8.0,4,5
2.4,Bani Gala,7.0,4,6
2.5,Bani Gala,6.0,5,6
5.3,E-11,8.0,5,6
25.0,D-12,20.0,9,6
12.5,D-12,10.0,5,6
3.95,G-14,4.0,4,4
4.75,D-12,4.0,3,4
5.75,D-12,5.0,3,4
2.65,Soan Garden,5.0,5,6
2.35,B-17,5.0,4,5
11.65,DHA Defence,20.0,6,7
13.9,DHA Defence,20.0,5,6
10.5,DHA Defence,20.0,5,6
11.5,DHA Defence,20.0,5,6
3.8,MPCHS Multi Gardens,10.0,7,6
0.7,PECHS,3.7,2,2
7.9,MPCHS Multi Gardens,14.0,6,6
0.55,MPCHS Multi Gardens,3.3,2,2
