,Price (Cr),Location,Area (Marla),Bedrooms,Bathrooms
849,16.5,10.208433734939758,20.0,9,6
850,4.8,10.208433734939758,4.0,3,4
851,5.1,4.157913669064748,10.0,5,5
852,4.75,10.208433734939758,4.0,3,3
853,2.9,9.743124363636364,10.0,3,4
854,1.8,1.625,5.0,4,5
855,3.75,9.743124363636364,11.0,3,4
856,0.8,2.9976595744680847,3.5,2,2
857,1.25,4.642857142857143,3.1,2,2
858,0.85,2.866153846153846,4.0,2,2
859,4.7,2.866153846153846,10.0,6,6
860,3.85,2.866153846153846,8.0,6,6
861,2.6,10.833333333333334,4.4,1,2
862,4.75,4.157913669064748,10.0,5,6
863,1.2,9.743124363636364,2.2,1,1
864,1.2,9.743124363636364,2.2,1,1
865,5.0,4.157913669064748,10.0,4,6
866,0.95,0.95,16.0,2,2
867,3.35,3.583207547169811,7.0,4,5
868,1.65,2.511978787878788,4.4,1,1
869,2.74,2.511978787878788,7.4,2,2
870,5.3,10.208433734939758,5.0,4,4
871,5.15,7.064183673469388,8.0,6,7
872,3.29,7.064183673469388,4.0,5,5
873,2.65,3.5698529411764706,8.0,6,6
874,4.8,4.8,10.0,5,5
875,12.0,7.064183673469388,14.2,6,7
876,5.7,7.064183673469388,8.0,5,6
877,2.5,6.419117647058823,7.3,3,3
878,0.56,2.9976595744680847,2.4,1,1
879,1.45,4.157913669064748,5.6,2,2
880,2.7,4.157913669064748,5.0,3,4
881,3.7,2.866153846153846,8.0,5,6
882,1.57,2.866153846153846,5.4,2,2
883,3.85,3.641666666666667,6.0,5,5
884,3.6,3.641666666666667,4.0,4,4
885,3.5,3.641666666666667,4.0,5,4
886,8.4,7.064183673469388,10.0,6,6
887,7.45,11.531578947368422,6.7,5,6
888,1.79,1.9485714285714286,3.5,1,1
889,10.5,9.743124363636364,20.0,5,5
890,14.75,9.743124363636364,20.0,6,6
891,1.6,2.6766666666666667,5.0,4,5
892,11.75,9.743124363636364,20.0,5,6
893,3.9,4.157913669064748,10.0,5,6
894,15.9,7.064183673469388,20.0,6,6
895,1.18,4.642857142857143,3.1,2,2
896,4.6,4.157913669064748,10.0,5,6
897,3.1,4.157913669064748,5.0,3,3
898,1.9,4.080263157894737,10.0,3,4
899,3.65,7.064183673469388,4.0,4,4
900,5.6,7.064183673469388,8.0,6,6
901,130.0,55.45526315789474,96.0,11,7
902,2.47,4.157913669064748,5.0,3,4
903,1.9,10.833333333333334,4.3,1,1
904,3.6,3.641666666666667,4.0,5,4
905,2.8,3.5072727272727273,5.0,4,4
906,0.9,2.4908333333333332,6.7,3,3
907,4.0,2.1561538461538463,10.0,5,6
908,8.25,6.419117647058823,11.0,6,6
909,1.6,2.6766666666666667,5.0,4,5
910,11.75,9.743124363636364,20.0,5,6
911,13.75,9.743124363636364,20.0,5,6
912,12.0,9.743124363636364,20.0,6,6
913,6.25,2.308888888888889,14.0,7,6
914,0.39,0.39,4.0,2,1
915,1.25,2.2,5.2,3,2
916,11.5,9.743124363636364,20.0,6,7
917,12.5,9.743124363636364,20.0,5,7
918,3.6,2.511978787878788,8.0,5,6
919,1.8,2.9976595744680847,4.3,1,1
920,4.3,2.9976595744680847,10.0,6,6
921,23.0,36.195757575757575,20.0,4,5
922,27.25,36.195757575757575,26.0,5,5
923,2.3,1.9,7.0,6,6
924,4.55,2.9976595744680847,10.0,6,6
925,0.73,2.9976595744680847,2.7,1,1
926,4.0,10.833333333333334,9.8,3,3
927,3.2,7.064183673469388,4.0,4,4
928,4.25,4.642857142857143,7.4,2,2
929,6.0,18.38326530612245,7.8,3,3
930,0.65,3.5698529411764706,3.7,2,2
931,2.65,4.080263157894737,6.0,5,6
932,7.86,36.195757575757575,6.7,2,2
933,7.75,9.743124363636364,20.0,6,7
934,11.9,9.743124363636364,20.0,5,7
